21-07-06 19:49.181 [pool-2-thread-3] INFO  edu.epam.task4.entity.Ferry - Car with id = 3 was added in the queue
21-07-06 19:49.181 [pool-2-thread-2] INFO  edu.epam.task4.entity.Cars - Car with id = 2 is transported, Current weight = 15, Current area = 30
21-07-06 19:49.180 [pool-2-thread-4] INFO  edu.epam.task4.entity.Cars - Car with id = 4 is transported, Current weight = 20, Current area = 41
21-07-06 19:49.180 [pool-2-thread-5] INFO  edu.epam.task4.entity.Cars - Car with id = 5 is transported, Current weight = 20, Current area = 41
21-07-06 19:49.180 [pool-2-thread-6] INFO  edu.epam.task4.entity.Cars - Car with id = 6 is transported, Current weight = 6, Current area = 16
21-07-06 19:49.181 [pool-2-thread-7] INFO  edu.epam.task4.entity.Cars - Car with id = 7 is transported, Current weight = 10, Current area = 26
21-07-06 19:49.187 [pool-2-thread-9] INFO  edu.epam.task4.entity.Ferry - Car with id = 9 was added in the queue
21-07-06 19:49.188 [pool-2-thread-10] INFO  edu.epam.task4.entity.Ferry - Car with id = 10 was added in the queue
21-07-06 19:49.809 [pool-2-thread-3] INFO  edu.epam.task4.entity.Cars - Car with id = 3 is transported, Current weight = 19, Current area = 41
21-07-06 19:49.809 [pool-2-thread-7] INFO  edu.epam.task4.entity.Cars - Car with id = 7 was delivered
21-07-06 19:49.965 [pool-2-thread-5] INFO  edu.epam.task4.entity.Cars - Car with id = 5 was delivered
21-07-06 19:49.965 [pool-2-thread-9] INFO  edu.epam.task4.entity.Cars - Car with id = 9 is transported, Current weight = 20, Current area = 41
21-07-06 19:49.077 [pool-2-thread-6] INFO  edu.epam.task4.entity.Cars - Car with id = 6 was delivered
21-07-06 19:49.077 [pool-2-thread-10] INFO  edu.epam.task4.entity.Cars - Car with id = 10 is transported, Current weight = 17, Current area = 31
21-07-06 19:49.115 [pool-2-thread-3] INFO  edu.epam.task4.entity.Cars - Car with id = 3 was delivered
21-07-06 19:49.216 [pool-2-thread-9] INFO  edu.epam.task4.entity.Cars - Car with id = 9 was delivered
